POSICIÓN,SUELDO,CLASIFICACIÓN,PRESTACIONES DE LEY,PRESTACIONES SUPERIORES,EMPRESA,GIRO,TAMAÑO DE LA EMPRESA,CIUDAD O ZONA,ESTADO,REGIÓN,FUENTE,PT SEGURO DE VIDA,PT MEMEBRESIA DESC,PT TRANSPORTE,PT SGMM,PT FLEXIBILIDAD,PT VALES DESPENSA/GASOLINA,PLAN DE CRECIMIENTO,PT ECONOMICAS,PT GRATUITAS INST,OBSERVACIONES
NOMINISTA,"$11,428.00",JUNIOR,SI,NO,GRUPO EMPRESARIAL ANGELES,SERVCIOS MÉDICOS,GRANDE,CANCÚN,QUINTANA ROO,PENINSULA,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ENCARGADO DE NOMINA,"$16,500.00",JUNIOR,SI,NO,CONFIDENCIAL,,GRANDE,CANCÚN,QUINTANA ROO,PENINSULA,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
NOMINISTA,"$17,000.00",JUNIOR,SI,NO,CONSOLIDÉ,CONSULTORÍA,GRANDE,CANCÚN,QUINTANA ROO,PENINSULA,KITEMPLEO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE LOGÍSTICA,"$27,500.00",GERENCIAL ,SI,SI,MEDÁ FINTECH,SERVICIOS FINANCIEROS,MEDIANA,MIGUEL HIDALGO,CDMX,BAJIO,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
OPERATIONS MANAGER ACCELERATION PROGRAM,"$29,000.00",JUNIOR,SI,NO,FINNOVISTA,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
SUPERVISOR OPERACIONES CENTRO DE ENTREGAS,"$25,000.00",SENIOR,SI,NO,GRUPO SALINAS - FINANZAS,SERVICIOS FINANCIEROS,MEDIANA,VERACRUZ,VERACRUZ,SURESTE,MIPLEO MEXICO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
SUPERVISOR DE OPERACIONES LOGÍSTICA,"$21,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,SI,NO,NO,PLAN DE CARRERA
SUPERVISOR DE LOGÍSTICA,"$25,000.00",SENIOR,SI,SI,CONFIDENCIAL,CONSULTORÍA,MEDIANA,GUANAJUATO,GUANAJUATO,BAJIO,GLASSDOOR,SI,NO,NO,SI,SI,SI,SI,SI,SI,"AUMENTOS SALARIALES
• ESTACIONAMIENTO DE LA EMPRESA
• HORARIOS FLEXIBLES
• OPCIÓN A CONTRATO INDEFINIDO
• SEGURO DE GASTOS MÉDICOS MAYORES
• SEGURO DE VIDA
• SERVICIO DE COMEDOR
• UNIFORMES GRATUITOS
• VALES DE DESPENSA, BONOS"
GERENTE DE TESORERIA,"$45,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CMDX,BAJIO,MICHAEL PAGE,SI,NO,NO,SI,SI,NO,NO,SI,NO,"30 DÍAS DE AGUINALDO, BONO ANUAL POR DESEMPEÑO, 12 DÍAS DE VACACIONES, SGMM Y SEGURO DE VIDA, ESQUEMA HÍBRIDO"
COORDINADOR DE TESORERÍA,"$27,500.00",SENIOR,SI,SI,CONTRATACIONES FINTECH,SERVICIOS FINANCIEROS,MEDIANA,SAN PEDRO GARZA GARCIA,NUEVO LEÓN,NOROESTE,GLASSDOOR,SI,NO,NO,SI,NO,NO,NO,NO,NO,"SEGURO DE VIDA
PRESTACIONES DE LEY, SEGURO DE GASTOS MÉDICOS MAYORES"
ANALISTA DE TESORERIA,"$28,500.00",JUNIOR,SI,SI,GRUPO SALINAS,SERVICIOS FINANCIEROS,MEDIANA,TLALPAN,CDMX,BAJIO,INDEED,SI,SI,NO,NO,NO,NO,NO,SI,NO,"CAJA DE AHORRO, DESCUENTOS Y PRECIOS PREFERENCIALES, SEGURO DE VIDA"
TESORERO,"$21,000.00",JUNIOR,SI,NO,CONFIDENCIAL,SERVICIOS FINANCIEROS,MEDIANA,CMDX,CMDX,BAJIO,AIRA,NO,NO,NO,NO,NO,NO,NO,NO,NO,
TESORERO,"$47,000.00",JUNIOR,SI,SI,TOKA INTERNACIONAL,SERVICIOS FINANCIEROS,MEDIANA,ZAPOPAN,JALISCO,CENTRO,OCC,SI,SI,NO,NO,NO,NO,NO,SI,NO,"VALES DE DESPENSA, CAJA DE AHORRO, MEMBRESÍA QUE INCLUYE (SEGURO DE VIDA POR MUERTE ACCIDENTAL, ASISTENCIAS MEDICAS Y DESCUENTOS)"
TESORERO,"$21,000.00",JUNIOR,SI,NO,CONFIDENCIAL,CONSULTORÍA,MEDIANA,CMDX,CMDX,BAJIO,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$350,000.00",DIRECTIVO,SI,NO,BANORTE,SERVICIOS FINANCIEROS,GRANDE,CMDX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$314,000.00",DIRECTIVO,SI,NO,BANCO AZTECA,SERVICIOS FINANCIEROS,GRANDE,CMDX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$150,000.00",DIRECTIVO,SI,NO,GIN GROUP,CONSULTORÍA,GRANDE,CMDX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$125,000.00",DIRECTIVO,SI,NO,CREDIX GS,SERVICIOS FINANCIEROS,GRANDE,CMDX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$160,000.00",DIRECTIVO,SI,NO,INNOVA FINTECH,SERVICIOS FINANCIEROS,GRANDE,CMDX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$300,000.00",DIRECTIVO,SI,NO,FINANCIAL SOLUTIONS MÉXICO,SERVICIOS FINANCIEROS,GRANDE,CMDX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE SUCURSAL BANCARIA,"$38,500.00",GERENCIAL ,SI,NO,BANCA FIRME,SERVICIOS FINANCIEROS,MEDIANA,CMDX,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE ADMINISTRATIVO,"$22,000.00",GERENCIAL ,SI,NO,SANTANDER,SERVICIOS FINANCIEROS,MEDIANA,CMDX,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE ADMINISTRADOR,"$30,000.00",GERENCIAL ,SI,NO,HUMAN & PROPERTY CARE SC,CONSULTORÍA,MEDIANA,MIGUEL HIDALGO,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ADMINISTRADOR GENERAL,"$35,000.00",JUNIOR,SI,NO,CONFIDENCIAL - FINANZAS,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE BANCOS,"$35,000.00",GERENCIAL ,SI,NO,CONFIDENCIAL,CONSULTORÍA,MEDIANA,BENITO JUAREZ,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE ZONAL DE OPERACIONES BANCARIAS,"$29,000.00",GERENCIAL ,SI,NO,BANREGIO,SERVICIOS FINANCIEROS,MEDIANA,CMDX,CMDX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONSULTOR DE RIESGOS,"$41,000.00",JUNIOR,SI,NO,PROFUTURO GNP,SECTOR ASEGURADOR,MEDIANA,CMDX,CMDX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ADMINISTRADOR DE RIESGOS,"$40,000.00",JUNIOR,SI,NO,"HUMANTOP, S.A. DE C.V.",CONSULTORÍA,MEDIANA,LEÓN,GUANAJUATO,BAJIO,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
ESPECIALISTA JR DE RIESGOS DE CIBERSEGURIDAD,"$34,000.00",JUNIOR,SI,NO,GRUPO SALINAS - FINANZAS,SERVICIOS FINANCIEROS,MEDIANA,CMDX,CMDX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
"ANALISTA DE RIESGO, FRAUDE Y ESTADOS FINANCIEROS","$35,000.00",JUNIOR,SI,NO,GLOBAL PAYMENTS,SERVICIOS FINANCIEROS,MEDIANA,CMDX,CMDX,BAJIO,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RIESGOS,"$55,000.00",GERENCIAL ,SI,NO,HSBC,SERVICIOS FINANCIEROS,MEDIANA,CMDX,CMDX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
COORDINADOR RIESGO OPERATIVO Y CUMPLIMIENTO,"$28,000.00",SENIOR,SI,NO,FINANCIERA INDEPENDENCIA,SERVICIOS FINANCIEROS,GRANDE,CMDX,CMDX,BAJIO,BEBEE,NO,NO,NO,NO,NO,NO,NO,NO,NO,
OFICIAL DE CUMPLIMIENTO,"$55,000.00",JUNIOR,SI,NO,VARIV CAPITAL - CONSULTORÍA,CONSULTORÍA,GRANDE,CMDX,CMDX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
OFICIAL DE CUMPLIMIENTO,"$40,000.00",JUNIOR,SI,NO,MANGO CASH UNION - SECTOR FINANCIERO,SERVICIOS FINANCIEROS,GRANDE,CMDX,CMDX,BAJIO,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
OFICIAL DE CUMPLIMIENTO,"$40,000.00",JUNIOR,SI,NO,EMPRESA CONFIENCIAL - FINANZAS,SERVICIOS FINANCIEROS,GRANDE,CMDX,CMDX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
OFICIAL DE CUMPLIMIENTO,"$50,000.00",JUNIOR,SI,NO,EMPRESA CONFIENCIAL - CONSULTORÍA,CONSULTORÍA,GRANDE,CMDX,CMDX,BAJIO,ADZUNA,NO,NO,NO,NO,NO,NO,NO,NO,NO,
OFICIAL DE CUMPLIMIENTO,"$40,000.00",JUNIOR,SI,NO,JILIAN CONSULTANTS MÉXICO - FINANZAS,CONSULTORÍA,GRANDE,CMDX,CMDX,BAJIO,BEBEE,NO,NO,NO,NO,NO,NO,NO,NO,NO,
OFICIAL DE CUMPLIMIENTO,"$46,000.00",JUNIOR,SI,NO,FINANCIERA INDEPENDENCIA,SERVICIOS FINANCIEROS,GRANDE,CMDX,CMDX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
EJECUTIVO DE ATENCIÓN A CLIENTES Y VENTAS,"$11,933.00",JUNIOR,SI,NO,GRUPO FINANCIERO BANORTE,SERVICIOS FINANCIEROS,MEDIANA,AZCAPOTZALCO,CDMX,BAJIO,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,SI,NO,PRESTACIONES SUPERIORES. COMISIONES SIN PRESISAR.
EJECUTIVO COMERCIAL JR.,"$13,500.00",JUNIOR,SI,NO,BANCO BANREGIO,SERVICIOS FINANCIEROS,MEDIANA,CMDX,CDMX,BAJIO,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,SI,NO,COMISIONES SIN PRESISAR. PRESTACIONES SUPERIORES.
EJECUTIVO DE VENTAS Y CREDITOS,"$12,000.00",JUNIOR,SI,NO,IVERCAPAFORE,SECTOR ASEGURADOR,MEDIANA,CUAUHTEMOC,CMDX,BAJIO,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,SI,NO,COMISIONES NO TOPADAS. PRESTACIONES SUPERIORES.
EJECUTIVO JR. ATENCIÓN A CLIENTES Y VENTAS,"$13,700.00",JUNIOR,SI,NO,GNP SEGUROS,SECTOR ASEGURADOR,MEDIANA,CDMX,CDMX,BAJIO,INDEED,NO,NO,SI,NO,NO,NO,NO,SI,NO,COMISIONES NO TOPADAS. PRESTACIONES SUPERIORES. TRANSPORTE DE PERSONAL. INCENTIVOS MENSUALES.
EJECUTIVO DE VENTAS,"$13,500.00",JUNIOR,SI,NO,PROFUTURO,SECTOR ASEGURADOR,MEDIANA,CDMX,CDMX,BAJIO,COMPUTRABAJO,NO,NO,NO,NO,NO,NO,NO,SI,NO,COMISIONES NO TOPADAS. BONOS DE PRODUCTIVIDAD
EJECUTIVO DE CUENTA,"$15,300.00",JUNIOR,SI,NO,SANTANDER,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,SI,NO,"COMISIONES NO TOPADAS. BONO DE PRODUCTIVIDAD, ASISTENCIA Y PUNTUALIDAD"
GERENTE DE OPERACIONES,"$60,000.00",GERENCIAL ,SI,NO,BANCO INTERNACIONAL,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE OPERACIONES,"$67,000.00",DIRECTIVO,SI,NO,BANORTE,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE BANCO,"$60,000.00",DIRECTIVO,SI,NO,BBVA,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,GLASSDOOR,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE OPERACIONES,"$75,000.00",DIRECTIVO,SI,NO,PAE - CONSULTORIA,CONSULTORÍA,MEDIANA,CDMX,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE OPERACIONES,"$65,200.00",SENIOR,SI,NO,SCG CONSULTORES,CONSULTORÍA,MEDIANA,CDMX,CDMX,BAJIO,INDEED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE OPERACIONES,"$60,000.00",DIRECTIVO,SI,NO,CONFIDENCIAL - FINANZAS,SERVICIOS FINANCIEROS,MEDIANA,CDMX,CDMX,BAJIO,SIMPLYHIRED,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE FINANZAS,"$150,000.00",DIRECTIVO,SI,NO,CONFIDENCIAL - FINANZAS,SERVICIOS FINANCIEROS,GRANDE,CDMX,CDMX,BAJIO,LINKEDIN,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE OPERACIONES,"$80,000.00",DIRECTIVO,SI,NO,PAE - CONSULTORIA,SERVICIOS FINANCIEROS,GRANDE,CDMX,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CFO,"$95,000.00",DIRECTIVO,SI,NO,ARC CANTO S.C - FINANZAS,SERVICIOS FINANCIEROS,GRANDE,CDMX,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
HEAD OF FINANCE,"$130,000.00",DIRECTIVO,SI,NO,CONFIDENCIAL - FINANZAS,SERVICIOS FINANCIEROS,GRANDE,CDMX,CDMX,BAJIO,MICHAEL PAGE,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE FINANCIERO FISCAL,"$120,000.00",GERENCIAL ,SI,NO,MORGAN PHILIPS EXECUTIVE SEARCH - CONSULTORIA,CONSULTORÍA,GRANDE,CDMX,CDMX,BAJIO,LINKEDIN,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE FINANCIERO,"$85,000.00",GERENCIAL ,SI,NO,GRUPO SALINAS - FINANZAS,SERVICIOS FINANCIEROS,GRANDE,CDMX,CDMX,BAJIO,OCC,NO,NO,NO,NO,NO,NO,NO,NO,NO,
